date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:52	8503/8503	---M-Z	200	added ('OK')	text/html	etag:%22299e73da263f45a702b8afa652dcbfab%22	https://www.nytimes.com/games/wordle/index.html	www.nytimes.com/games/wordle/index.html	(from )
16:16:54	495/495	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Mon,%2002%20May%202022%2012:30:20%20GMT	https://www.nytimes.com/robots.txt		(from )
16:16:55	12215/12215	---M--	200	added ('OK')	image/png	etag:%229209526c798fae4a5fd900cd907e3dc4%22	https://www.nytimes.com/games/wordle/images/NYT-Wordle-Meta.png	www.nytimes.com/games/wordle/images/NYT-Wordle-Meta.png	(from https://www.nytimes.com/games/wordle/index.html)
16:16:56	1019/1019	---M-Z	200	added ('OK')	application/json	etag:%22c4582ef76c2209de57488de790cd6b04%22	https://www.nytimes.com/games/wordle/manifest.json	www.nytimes.com/games/wordle/manifest.json	(from https://www.nytimes.com/games/wordle/index.html)
16:16:57	545/545	---M--	200	added ('OK')	image/png	etag:%228a5ea1a89734fbc5384bfa4dff21a6cf%22	https://www.nytimes.com/games/wordle/images/NYT-Wordle-Icon-32.png	www.nytimes.com/games/wordle/images/NYT-Wordle-Icon-32.png	(from https://www.nytimes.com/games/wordle/index.html)
16:16:58	2202/2202	---M--	200	added ('OK')	image/png	etag:%2254c2bda6b25497b97297691c3e9896cc%22	https://www.nytimes.com/games/wordle/images/NYT-Wordle-Icon-192.png	www.nytimes.com/games/wordle/images/NYT-Wordle-Icon-192.png	(from https://www.nytimes.com/games/wordle/index.html)
16:16:59	15928/15928	---M--	200	added ('OK')	application/octet-stream	etag:%2208f1ad123637211a1b659049f38a3660%22	https://www.nytimes.com/games/wordle/fonts/karnakcondensed-normal-700.woff2	www.nytimes.com/games/wordle/fonts/karnakcondensed-normal-700.woff2	(from https://www.nytimes.com/games/wordle/index.html)
16:17:00	23400/23400	---M--	200	added ('OK')	application/octet-stream	etag:%22e0eef966dd89c7b1c2424b9b9928c439%22	https://www.nytimes.com/games/wordle/fonts/karnakcondensed-normal-700.woff	www.nytimes.com/games/wordle/fonts/karnakcondensed-normal-700.woff	(from https://www.nytimes.com/games/wordle/index.html)
16:17:02	19816/19816	---M--	200	added ('OK')	application/octet-stream	etag:%2238378b81621621a84efb3682de375bb5%22	https://www.nytimes.com/games/wordle/fonts/franklin-normal-500.woff2	www.nytimes.com/games/wordle/fonts/franklin-normal-500.woff2	(from https://www.nytimes.com/games/wordle/index.html)
16:17:03	26600/26600	---M--	200	added ('OK')	application/octet-stream	etag:%22524e0e4eed53825126b36cb5e98ec414%22	https://www.nytimes.com/games/wordle/fonts/franklin-normal-500.woff	www.nytimes.com/games/wordle/fonts/franklin-normal-500.woff	(from https://www.nytimes.com/games/wordle/index.html)
